Term Code,Term Desc,Subj Code,Crse Numb,Seq Numb,Course,Crn,Course Title,Course Title - Xlst,Ptrm Start Date,Ptrm End Date,Coll Code,Coll Desc,Dept Code,Dept Desc,Camp Code,Camp Desc,Ssts Code,Credit Hrs,Sess Desc,Schd Code,Schd Desc,Bldg Code,Room Code,Begin Time,End Time,Day,CRN Count,Unique CRN,Seats Avail,Max Enrl,Enrl,Primary Instructor,Instructor,Primary Instr Fctg Desc,All Instructors
201515,Fall Quarter 15-16,ANIM,211,001,ANIM 211 001,12322,Animation I,Animation I,09/21/2015,12/12/2015,A,Antoinette Westphal COMAD,3634,Digital Media,UC,University City,A,3,Undergraduate Day,L,Lecture,URBN,252,1200,1450,W,649,1,0,15,15,"Jushchyshyn, Nicholas (Primary Instr)","Jushchyshyn, Nicholas",Assist Teaching/Visiting Prof,"Jushchyshyn, Nicholas"
201515,Fall Quarter 15-16,ANIM,211,002,ANIM 211 002,12323,Animation I,Animation I,09/21/2015,12/12/2015,A,Antoinette Westphal COMAD,3634,Digital Media,UC,University City,A,3,Undergraduate Day,L,Lecture,URBN,248,0930,1220,T,649,1,0,15,15,"Whitaker, Francis (Primary Instr)","Whitaker, Francis",Adjunct Instructor,"Whitaker, Francis"
201515,Fall Quarter 15-16,ANIM,211,003,ANIM 211 003,12324,Animation I,Animation I,09/21/2015,12/12/2015,A,Antoinette Westphal COMAD,3634,Digital Media,UC,University City,A,3,Undergraduate Day,L,Lecture,URBN,248,0930,1220,R,649,1,0,15,15,"Whitaker, Francis (Primary Instr)","Whitaker, Francis",Adjunct Instructor,"Whitaker, Francis"
201515,Fall Quarter 15-16,ANIM,211,005,ANIM 211 005,14301,Animation I,Animation I,09/21/2015,12/12/2015,A,Antoinette Westphal COMAD,3634,Digital Media,UC,University City,A,3,Undergraduate Day,L,Lecture,URBN,250,1500,1750,W,649,1,0,15,15,"Reagan, Ross (Primary Instr)","Reagan, Ross",,"Reagan, Ross"
201515,Fall Quarter 15-16,ANIM,211,006,ANIM 211 006,15531,Animation I,Animation I,09/21/2015,12/12/2015,A,Antoinette Westphal COMAD,3634,Digital Media,UC,University City,A,3,Undergraduate Day,L,Lecture,URBN,248,1230,1520,T,649,1,2,15,13,"Suen, Ian (Primary Instr)","Suen, Ian",,"Suen, Ian"
201515,Fall Quarter 15-16,ANIM,211,008,ANIM 211 008,15533,Animation I,Animation I,09/21/2015,12/12/2015,A,Antoinette Westphal COMAD,3634,Digital Media,UC,University City,A,3,Undergraduate Evening,L,Lecture,URBN,248,1830,2120,R,649,1,2,15,13,"Martin, Eric (Primary Instr)","Martin, Eric",,"Martin, Eric"
201515,Fall Quarter 15-16,ANIM,314,001,ANIM 314 001,12908,Character Animation I,Character Animation I,09/21/2015,12/12/2015,A,Antoinette Westphal COMAD,3634,Digital Media,UC,University City,A,3,Undergraduate Day,L,Lecture,URBN,248,1200,1450,W,649,1,0,16,16,"Mauriello, David (Primary Instr)","Mauriello, David",Assistant Professor,"Mauriello, David"
201515,Fall Quarter 15-16,ANIM,314,002,ANIM 314 002,15534,Character Animation I,Character Animation I,09/21/2015,12/12/2015,A,Antoinette Westphal COMAD,3634,Digital Media,UC,University City,A,3,Undergraduate Day,L,Lecture,URBN,248,1500,1750,W,649,1,4,16,12,"Mauriello, David (Primary Instr)","Mauriello, David",Assistant Professor,"Mauriello, David"
201515,Fall Quarter 15-16,ANIM,388,001,ANIM 388 001,13145,Spatial Data Capture,Spatial Data Capture,09/21/2015,12/12/2015,A,Antoinette Westphal COMAD,3634,Digital Media,UC,University City,A,3,Undergraduate Day,L,Lecture,URBN,250,1530,1820,T,649,1,2,16,14,"Pettit, Stephen (Primary Instr)","Pettit, Stephen",,"Pettit, Stephen"
201515,Fall Quarter 15-16,ANIM,411,001,ANIM 411 001,14484,Advanced Animation,Advanced Animation,09/21/2015,12/12/2015,A,Antoinette Westphal COMAD,3634,Digital Media,UC,University City,A,3,Undergraduate Day,L,Lecture,URBN,252,0900,1150,W,649,1,0,15,15,"Fernsler, Jeremy (Primary Instr)","Fernsler, Jeremy",Assist Teaching/Visiting Prof,"Fernsler, Jeremy"
201515,Fall Quarter 15-16,DIGM,100,001,DIGM 100 001,10684,Digital Design Tools,Digital Design Tools,09/21/2015,12/12/2015,A,Antoinette Westphal COMAD,3634,Digital Media,UC,University City,A,3,Undergraduate Day,U,Studio,URBN,247,1500,1750,M,649,1,0,17,17,"Oum, Kenneth (Primary Instr)","Oum, Kenneth",Adjunct Instructor,"Oum, Kenneth"
201515,Fall Quarter 15-16,DIGM,100,002,DIGM 100 002,11625,Digital Design Tools,Digital Design Tools,09/21/2015,12/12/2015,A,Antoinette Westphal COMAD,3634,Digital Media,UC,University City,A,3,Undergraduate Day,U,Studio,URBN,247,1230,1520,R,649,1,0,17,17,"Reed, Ryan (Primary Instr)","Reed, Ryan",,"Reed, Ryan"
201515,Fall Quarter 15-16,DIGM,100,003,DIGM 100 003,10686,Digital Design Tools,Digital Design Tools,09/21/2015,12/12/2015,A,Antoinette Westphal COMAD,3634,Digital Media,UC,University City,A,3,Undergraduate Day,U,Studio,URBN,247,1200,1450,M,649,1,0,17,17,"Aspland, Kurt (Primary Instr)","Aspland, Kurt",Adjunct Instructor,"Aspland, Kurt"
201515,Fall Quarter 15-16,DIGM,100,004,DIGM 100 004,12204,Digital Design Tools,Digital Design Tools,09/21/2015,12/12/2015,A,Antoinette Westphal COMAD,3634,Digital Media,UC,University City,A,3,Undergraduate Day,U,Studio,URBN,247,1500,1750,W,649,1,0,17,17,"Richardson, Patrick (Primary Instr)","Richardson, Patrick",,"Richardson, Patrick"
201515,Fall Quarter 15-16,DIGM,100,005,DIGM 100 005,10685,Digital Design Tools,Digital Design Tools,09/21/2015,12/12/2015,A,Antoinette Westphal COMAD,3634,Digital Media,UC,University City,A,3,Undergraduate Evening,U,Studio,URBN,250,1830,2120,R,649,1,-1,17,18,"Reed, Ryan (Primary Instr)","Reed, Ryan",,"Reed, Ryan"
